asset_id,technical_name,source_ref,asset_type,label_normalized,predicted_label,text_combined,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_normalized_clean,label_raw,is_correct
1004477,SYSADM.PSADSSQLREF,PSADSSQLREF,oracle_table,Technique,Finance,SYSADM.PSADSSQLREF PSADSSQLREF oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004476,SYSADM.PSADS_REQUEST,PSADS_REQUEST,oracle_table,Technique,Finance,SYSADM.PSADS_REQUEST PSADS_REQUEST oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004627,SYSADM.PS_AGC_SRCHKEY_FLD,PS_AGC_SRCHKEY_FLD,oracle_table,Technique,Finance,SYSADM.PS_AGC_SRCHKEY_FLD PS_AGC_SRCHKEY_FLD oracle_table,5,0,5,1,0,4,0,7.6,18.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004275,SYSADM.MV_CAPABILITIES_TABLE,MV_CAPABILITIES_TABLE,oracle_table,Technique,Finance,SYSADM.MV_CAPABILITIES_TABLE MV_CAPABILITIES_TABLE oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004475,SYSADM.PSADSRELPROP,PSADSRELPROP,oracle_table,Technique,Finance,SYSADM.PSADSRELPROP PSADSRELPROP oracle_table,0,0,0,0,0,0,0,,,276.0,30084.0,0.0286903381347656,VRAI,Technique,IT,False
1004402,SYSADM.PS_ACV_NODE_VIEW,PS_ACV_NODE_VIEW,oracle_table,Technique,Finance,SYSADM.PS_ACV_NODE_VIEW PS_ACV_NODE_VIEW oracle_table,4,0,4,0,0,4,0,13.75,30.0,4.0,152.0,0.0001449584960937,VRAI,Technique,IT,False
1005358,SYSADM.PS_AM_CGU_IMP_AET,PS_AM_CGU_IMP_AET,oracle_table,Finance,Technique,SYSADM.PS_AM_CGU_IMP_AET PS_AM_CGU_IMP_AET oracle_table,47,5,42,18,4,25,1,38.48936170212765,254.0,0.0,0.0,0.0,VRAI,Finance,Finance,False
1004353,SYSADM.PSACETREE,PSACETREE,oracle_table,Technique,Finance,SYSADM.PSACETREE PSACETREE oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004545,SYSADM.PS_AEDAEMONMGR_AET,PS_AEDAEMONMGR_AET,oracle_table,Technique,Finance,SYSADM.PS_AEDAEMONMGR_AET PS_AEDAEMONMGR_AET oracle_table,6,0,6,3,0,3,0,7.5,12.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004461,SYSADM.PSADSGROUPLANG,PSADSGROUPLANG,oracle_table,Technique,Finance,SYSADM.PSADSGROUPLANG PSADSGROUPLANG oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004557,SYSADM.PS_AE_PTTSUNDO_AET,PS_AE_PTTSUNDO_AET,oracle_table,Technique,Finance,SYSADM.PS_AE_PTTSUNDO_AET PS_AE_PTTSUNDO_AET oracle_table,29,1,28,6,1,22,0,45.93103448275863,254.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004586,SYSADM.PS_AE_TIMINGS_LG,PS_AE_TIMINGS_LG,oracle_table,Technique,Finance,SYSADM.PS_AE_TIMINGS_LG PS_AE_TIMINGS_LG oracle_table,11,2,9,6,2,3,0,17.18181818181818,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004607,SYSADM.PS_AGC_CAT_NOT_TYP,PS_AGC_CAT_NOT_TYP,oracle_table,Technique,Finance,SYSADM.PS_AGC_CAT_NOT_TYP PS_AGC_CAT_NOT_TYP oracle_table,6,0,6,0,1,5,0,9.666666666666666,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004343,SYSADM.PSACECUBEDIMS,PSACECUBEDIMS,oracle_table,Technique,Finance,SYSADM.PSACECUBEDIMS PSACECUBEDIMS oracle_table,0,0,0,0,0,0,0,,,173.0,7612.0,0.0072593688964843,VRAI,Technique,IT,False
1004544,SYSADM.PS_AE_CV8_PAIR_TBL,PS_AE_CV8_PAIR_TBL,oracle_table,Technique,Finance,SYSADM.PS_AE_CV8_PAIR_TBL PS_AE_CV8_PAIR_TBL oracle_table,4,0,4,0,0,4,0,9.5,18.0,9.0,207.0,0.000197410583496,VRAI,Technique,IT,False
1004538,SYSADM.PSAEAPPLSTATE,PSAEAPPLSTATE,oracle_table,Technique,Finance,SYSADM.PSAEAPPLSTATE PSAEAPPLSTATE oracle_table,0,0,0,0,0,0,0,,,6192.0,167184.0,0.1594390869140625,VRAI,Technique,IT,False
1004459,SYSADM.PSADSEXCLUSIONS,PSADSEXCLUSIONS,oracle_table,Technique,Finance,SYSADM.PSADSEXCLUSIONS PSADSEXCLUSIONS oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004574,SYSADM.PS_AE_STEP_TBL,PS_AE_STEP_TBL,oracle_table,Technique,Finance,SYSADM.PS_AE_STEP_TBL PS_AE_STEP_TBL oracle_table,24,1,23,1,1,22,0,4.5,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004393,SYSADM.PS_ACTN_REASON_TBL,PS_ACTN_REASON_TBL,oracle_table,RH,Finance,SYSADM.PS_ACTN_REASON_TBL PS_ACTN_REASON_TBL oracle_table,16,0,16,0,1,15,0,4.75,30.0,156.0,10920.0,0.0104141235351562,VRAI,RH,HR,False
1004350,SYSADM.PSACEORGANIZER,PSACEORGANIZER,oracle_table,Technique,Finance,SYSADM.PSACEORGANIZER PSACEORGANIZER oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1005061,SYSADM.PS_AM_ADD_DTL_WL,PS_AM_ADD_DTL_WL,oracle_table,Finance,RH,SYSADM.PS_AM_ADD_DTL_WL PS_AM_ADD_DTL_WL oracle_table,17,3,14,0,3,14,0,21.11764705882353,50.0,5.0,495.0,0.000472068786621,VRAI,Finance,Finance,False
1004346,SYSADM.PSACEEXPSET,PSACEEXPSET,oracle_table,Technique,Finance,SYSADM.PSACEEXPSET PSACEEXPSET oracle_table,0,0,0,0,0,0,0,,,4.0,84.0,8.01086425781e-05,VRAI,Technique,IT,False
1004597,SYSADM.PS_AGC_CAT_CTX,PS_AGC_CAT_CTX,oracle_table,Technique,Finance,SYSADM.PS_AGC_CAT_CTX PS_AGC_CAT_CTX oracle_table,14,0,14,1,1,12,0,33.5,254.0,4.0,320.0,0.00030517578125,VRAI,Technique,IT,False
1004539,SYSADM.PS_AE_APPL_TBL,PS_AE_APPL_TBL,oracle_table,Technique,Finance,SYSADM.PS_AE_APPL_TBL PS_AE_APPL_TBL oracle_table,25,3,22,3,3,19,0,8.12,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004584,SYSADM.PS_AETEMPTBLMGR,PS_AETEMPTBLMGR,oracle_table,Technique,Finance,SYSADM.PS_AETEMPTBLMGR PS_AETEMPTBLMGR oracle_table,10,1,9,4,1,5,0,13.0,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1005026,SYSADM.PS_ALLOC_GROUP_E,PS_ALLOC_GROUP_E,oracle_table,Finance,Technique,SYSADM.PS_ALLOC_GROUP_E PS_ALLOC_GROUP_E oracle_table,8,1,7,0,1,7,1,10.875,30.0,0.0,0.0,0.0,VRAI,Finance,Finance,False
1004517,SYSADM.PS_AE_AMALLOC_AET1,PS_AE_AMALLOC_AET1,oracle_table,Technique,Finance,SYSADM.PS_AE_AMALLOC_AET1 PS_AE_AMALLOC_AET1 oracle_table,29,2,27,5,2,22,0,11.206896551724135,28.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004283,SYSADM.PSACCESSPRFL,PSACCESSPRFL,oracle_table,Technique,Finance,SYSADM.PSACCESSPRFL PSACCESSPRFL oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Technique,IT,False
1004521,SYSADM.PS_AE_AMDPCLOS_AET,PS_AE_AMDPCLOS_AET,oracle_table,Technique,Finance,SYSADM.PS_AE_AMDPCLOS_AET PS_AE_AMDPCLOS_AET oracle_table,100,8,92,24,8,68,0,11.32,254.0,0.0,0.0,0.0,VRAI,Technique,IT,False
